item;descricao;valor
1;Honorários originários de 10% atualizados até julho/2026;60930,46
2;Majoração recursal adicional de 5 pontos percentuais;30465,23
3;Crédito do título a 15%;91395,69
4;Caixa - primeiro alvará recebido;-19765,92
5;Caixa - segundo alvará recebido;-12119,17
6;Santander - depósito pendente de alvará;-12278,26
7;Bradesco - pagamento parcial pendente de alvará;-20310,15
8;Principal remanescente;26922,19
9;Multa do art. 523 sobre o remanescente;2692,22
10;Honorários executivos do art. 523 sobre o remanescente;2692,22
11;Saldo indicado para nova penhora;32306,63
